show_id,type,genre
s2348,TV Show,Romantic TV Shows
s2348,TV Show,TV Comedies
s2349,Movie,Dramas
s2349,Movie,International Movies
s2350,Movie,Dramas
s2350,Movie,International Movies
s2351,TV Show,International TV Shows
s2351,TV Show,Stand-Up Comedy & Talk Shows
s2351,TV Show,TV Comedies
s2352,Movie,Dramas
s2353,Movie,Action & Adventure
s2353,Movie,Anime Features
s2353,Movie,Horror Movies
s2354,Movie,Dramas
s2354,Movie,Independent Movies
s2354,Movie,International Movies
s2355,Movie,Documentaries
s2356,Movie,Children & Family Movies
s2356,Movie,Comedies
s2357,Movie,Children & Family Movies
s2357,Movie,Comedies
s2358,Movie,Children & Family Movies
s2358,Movie,Comedies
s2359,Movie,Music & Musicals
s2359,Movie,Stand-Up Comedy
s2360,TV Show,Anime Series
s2360,TV Show,International TV Shows
s2361,TV Show,Docuseries
s2362,Movie,Children & Family Movies
s2362,Movie,Dramas
s2362,Movie,Sports Movies
s2363,Movie,Children & Family Movies
s2363,Movie,Dramas
s2363,Movie,Sports Movies
s2364,Movie,Action & Adventure
s2364,Movie,Dramas
s2364,Movie,International Movies
s2365,Movie,Dramas
s2365,Movie,International Movies
s2366,Movie,Horror Movies
s2366,Movie,Thrillers
s2367,Movie,Dramas
s2367,Movie,International Movies
s2368,Movie,Dramas
s2369,Movie,International Movies
s2369,Movie,Music & Musicals
s2370,Movie,Documentaries
s2370,Movie,LGBTQ Movies
s2371,Movie,Documentaries
s2371,Movie,Sports Movies
s2372,Movie,Documentaries
s2372,Movie,Sports Movies
s2373,Movie,Dramas
s2373,Movie,International Movies
s2374,TV Show,British TV Shows
s2374,TV Show,Docuseries
s2374,TV Show,International TV Shows
s2375,TV Show,British TV Shows
s2375,TV Show,Docuseries
s2375,TV Show,International TV Shows
s2376,TV Show,TV Comedies
s2376,TV Show,TV Dramas
s2377,TV Show,Crime TV Shows
s2377,TV Show,International TV Shows
s2377,TV Show,Romantic TV Shows
s2378,Movie,Stand-Up Comedy
s2379,Movie,Children & Family Movies
s2379,Movie,Comedies
s2380,Movie,Horror Movies
s2380,Movie,Thrillers
s2381,TV Show,Kids' TV
s2381,TV Show,TV Comedies
s2382,TV Show,British TV Shows
s2382,TV Show,Crime TV Shows
s2382,TV Show,International TV Shows
s2383,Movie,Comedies
s2383,Movie,Music & Musicals
s2384,Movie,International Movies
s2384,Movie,Thrillers
s2385,Movie,Documentaries
s2386,TV Show,Reality TV
s2387,Movie,Children & Family Movies
s2387,Movie,Comedies
s2388,TV Show,Crime TV Shows
s2388,TV Show,TV Comedies
s2388,TV Show,TV Dramas
s2389,Movie,Action & Adventure
s2389,Movie,Comedies
s2390,Movie,International Movies
s2390,Movie,Thrillers
s2391,Movie,Comedies
s2391,Movie,Romantic Movies
s2392,Movie,Comedies
s2392,Movie,Dramas
s2392,Movie,International Movies
s2393,Movie,Comedies
s2393,Movie,International Movies
s2393,Movie,Thrillers
s2394,Movie,Action & Adventure
s2394,Movie,Dramas
s2394,Movie,International Movies
s2395,Movie,Horror Movies
s2396,TV Show,Anime Series
s2396,TV Show,Crime TV Shows
s2396,TV Show,International TV Shows
s2397,Movie,Documentaries
s2398,Movie,Action & Adventure
s2398,Movie,Anime Features
s2398,Movie,International Movies
s2399,Movie,Children & Family Movies
s2399,Movie,Comedies
s2400,Movie,Action & Adventure
s2400,Movie,Sci-Fi & Fantasy
s2401,Movie,Horror Movies
s2401,Movie,International Movies
s2401,Movie,Thrillers
s2402,Movie,Action & Adventure
s2402,Movie,Anime Features
s2402,Movie,International Movies
s2403,TV Show,Reality TV
s2404,Movie,Action & Adventure
